JobTitle,CompanyName,ApprovedOn,SalaryMin,SalaryMax,PrettySalary,Skills,WorkingLocations,JobType,JobLevel,CompanySize,LanguageSelected
02 Android Developers / Lương Up to $1500,Công Ty Phần Mềm Tower Hanoi (Tohsoft),2/8/2022,800,1500,$800 - $1500,"Android,Kotlin,Java,Mobile App Development,iOS;",Hà Nội,toàn thời gian,Nhân viên,25-99 Nhân viên,Bất kỳ
IT Engineer,Công Ty TNHH ON Semiconductor Việt Nam (OSV),2/8/2022,700,1000,Thương lượng,"English Communications,IT System,IT Software,Database,Programming Technology;","Đồng Nai,Hồ Chí Minh,Biên Hòa",toàn thời gian,Nhân viên,"1,000-4,999 Nhân viên",Tiếng Anh
BrSE,Maruweb Viet Nam,2/8/2022,1500,3000,$1500 - $3000,"BrSE,IT Software,Japanese,PHP,E Commerce;",Hồ Chí Minh,toàn thời gian,Nhân viên,10-24 Nhân viên,Bất kỳ
Project Coordinator (English - Speaking),TPF Group,3/1/2022,500,1200,$500 - $1200,"Project Management,IT Software Development,Digital Marketing Tools,Commerce;",Hồ Chí Minh,toàn thời gian,Nhân viên,25-99 Nhân viên,Tiếng Anh
Technical Solution Leader (Microsoft Azure Ranger),"Tek Experts Co., Ltd",3/1/2022,1500,3000,Thương lượng,"Cloud,Azure,Microsoft;",Khác,toàn thời gian,Trưởng phòng,500-999 Nhân viên,Bất kỳ
Sharepoint Developer,ELCA Information Technology (Vietnam) Limited,3/1/2022,1000,2000,Thương lượng,".NET,C#,SQL,JavaScript;",Hồ Chí Minh,toàn thời gian,Nhân viên,100-499 Nhân viên,Tiếng Anh
02 Mobile Apps UI/UX Designer,Công Ty Phần Mềm Tower Hanoi (Tohsoft),2/8/2022,600,1000,$600 - $1000,"UI Mockup,Wireframe,Mobile Mockup,Banner Design;",Hà Nội,toàn thời gian,Nhân viên,25-99 Nhân viên,Bất kỳ
03 Game Designer,Công Ty Phần Mềm Tower Hanoi (Tohsoft),2/8/2022,500,1500,$500 - $1500,"Game Design,Unity,Đồ Họa 3D,Software;",Hà Nội,toàn thời gian,Nhân viên,25-99 Nhân viên,Tiếng Anh
Services - Technical Services Specialist,ELCA Information Technology (Vietnam) Limited,3/1/2022,300,300,Thương lượng,"HTML,CSS,JavaScript,SQL,Software Testing;",Hồ Chí Minh,toàn thời gian,Nhân viên,100-499 Nhân viên,Bất kỳ
Fresher,ELCA Information Technology (Vietnam) Limited,3/1/2022,400,600,Thương lượng,".NET,Java,Data Modeling,Software Engineering,English;",Hồ Chí Minh,toàn thời gian,Mới tốt nghiệp/Thực tập sinh,100-499 Nhân viên,Tiếng Anh
Kỹ Sư Quản Trị Hệ Thống,BIM Group,3/1/2022,1000,1200,Thương lượng,"Quản Trị Hạ Tầng CNTT,IT Phần Cứng,Quản Trị Mạng Công Ty,Bảo Mật Server;",Hà Nội,toàn thời gian,Nhân viên,"5,000-9,999 Nhân viên",Bất kỳ
[Home Based] Odoo Developer,Tập Đoàn New World Fashion,3/1/2022,300,0,Thương lượng,"Odoo Modules,Python,JavaScript,Textile,IT Software;","Hải Phòng,Hà Nội,Hồ Chí Minh",toàn thời gian,Nhân viên,"5,000-9,999 Nhân viên",Bất kỳ
IT Fresher,DEK Technologies Vietnam,2/8/2022,500,1000,Thương lượng,"Voice Services,Cloud,Continuous Integration,Information Technology,Computer Science;",Hồ Chí Minh,toàn thời gian,Mới tốt nghiệp/Thực tập sinh,100-499 Nhân viên,Tiếng Anh
Senior Developer - Upto $2000,Công Ty TNHH MTV Ứng Dụng Kỹ Thuật Và Sản Xuất,2/8/2022,1000,2000,$1000 - $2000,"Angular,.NET,JavaScript,Front End Developer,Backend;",Hà Nội,toàn thời gian,Nhân viên,25-99 Nhân viên,Bất kỳ
